Province/ Region,Factor,Age Group,Gender,Number,Percentage,Additional factor details
Total Sample,Current mentor,All ages,All genders,265,7.6%
Total Sample,Current mentor,All ages,Woman,140,7.8%
Total Sample,Current mentor,All ages,Man,123,7.5%
Total Sample,Current mentor,18 to 29,All genders,54,11.7%
Total Sample,Current mentor,30 to 39,All genders,81,10.1%
Total Sample,Current mentor,40 to 49,All genders,48,7.0%
Total Sample,Current mentor,50 to 59,All genders,40,6.7%
Total Sample,Current mentor,60+,All genders,42,4.5%
Total Sample,Current mentor,18 to 29,Woman,24,10.1%
Total Sample,Current mentor,30 to 39,Woman,37,8.7%
Total Sample,Current mentor,40 to 49,Woman,25,7.1%
Total Sample,Current mentor,50 to 59,Woman,25,7.9%
Total Sample,Current mentor,60+,Woman,29,6.2%
Total Sample,Current mentor,18 to 29,Man,30,14.2%
Total Sample,Current mentor,30 to 39,Man,42,11.5%
Total Sample,Current mentor,40 to 49,Man,23,7.0%
Total Sample,Current mentor,50 to 59,Man,15,5.4%
Total Sample,Current mentor,60+,Man,13,2.8%
Total Sample,Past mentor,All ages,All genders,812,23.3%
Total Sample,Past mentor,All ages,Woman,422,23.4%
Total Sample,Past mentor,All ages,Man,378,22.9%
Total Sample,Past mentor,All ages,Non-binary,12,41.4%
Total Sample,Past mentor,18 to 29,All genders,92,20.0%
Total Sample,Past mentor,30 to 39,All genders,147,18.3%
Total Sample,Past mentor,40 to 49,All genders,130,18.9%
Total Sample,Past mentor,50 to 59,All genders,141,23.6%
Total Sample,Past mentor,60+,All genders,302,32.4%
Total Sample,Past mentor,18 to 29,Woman,43,18.1%
Total Sample,Past mentor,30 to 39,Woman,78,18.3%
Total Sample,Past mentor,40 to 49,Woman,65,18.5%
Total Sample,Past mentor,50 to 59,Woman,80,25.2%
Total Sample,Past mentor,60+,Woman,156,33.1%
Total Sample,Past mentor,18 to 29,Man,46,21.7%
Total Sample,Past mentor,30 to 39,Man,65,17.8%
Total Sample,Past mentor,40 to 49,Man,61,18.4%
Total Sample,Past mentor,50 to 59,Man,60,21.6%
Total Sample,Past mentor,60+,Man,146,31.6%
Total Sample,Likely to mentor,All ages,All genders,729,22.7%
Total Sample,Likely to mentor,All ages,Woman,360,21.6%
Total Sample,Likely to mentor,All ages,Man,359,23.5%
Total Sample,Likely to mentor,All ages,Non-binary,10,37.0%
Total Sample,Likely to mentor,18 to 29,All genders,149,36.6%
Total Sample,Likely to mentor,30 to 39,All genders,235,32.5%
Total Sample,Likely to mentor,40 to 49,All genders,168,26.3%
