Province/ Region,Factor,Age Group,Gender,Number,Percentage,Additional factor details,,
Total Sample,Access to Mentoring,All ages,All genders,1490,55.8%,,,
Total Sample,Access to Mentoring,All ages,Woman,747,56.1%,,,
Total Sample,Access to Mentoring,All ages,Man,700,55.6%,,,
Total Sample,Access to Mentoring,All ages,Non-binary,42,54.6%,,,
Total Sample,Access to Mentoring,18 to 24,All genders,730,58.7%,,,
Total Sample,Access to Mentoring,25 to 30,All genders,759,53.3%,,,
Total Sample,Access to Mentoring,18 to 24,Woman,354,58.3%,,,
Total Sample,Access to Mentoring,18 to 24,Man,346,58.9%, ,,
Total Sample,Access to Mentoring,18 to 24,Non-binary,30,61.2%,,,
Total Sample,Access to Mentoring,25 to 30,Woman,393,54.2%,,,
Total Sample,Access to Mentoring,25 to 30,Man,354,52.8%,,,
Total Sample,Access to Mentoring,25 to 30,Non-binary,12,42.9%,,,
Alberta,Access to Mentoring,All ages,All genders,192,58.2%,,,
Alberta,Access to Mentoring,All ages,Woman,90,56.3%,,,
Alberta,Access to Mentoring,All ages,Man,98,61.6%,,,
Alberta,Access to Mentoring,All ages,Non-binary,3,33.3%,  ,,
Alberta,Access to Mentoring,18 to 24,All genders,94,59.9%, ,,
Alberta,Access to Mentoring,25 to 30,All genders,97,56.7%,,,
Alberta,Access to Mentoring,18 to 24,Woman,39,54.9%,,,
Alberta,Access to Mentoring,18 to 24,Man,54,66.7%,,,
Alberta,Access to Mentoring,18 to 24,Non-binary,1,20.0%,,,
Alberta,Access to Mentoring,25 to 30,Woman,51,57.3%,,,
Alberta,Access to Mentoring,25 to 30,Man,44,56.4%,,,
Alberta,Access to Mentoring,25 to 30,Non-binary,2,50.0%,,,
British Columbia,Access to Mentoring,All ages,All genders,174,52.7%,,,
British Columbia,Access to Mentoring,All ages,Woman,81,51.3%,,,
British Columbia,Access to Mentoring,All ages,Man,88,55.0%,,,
British Columbia,Access to Mentoring,All ages,Non-binary,5,41.7%,,,
British Columbia,Access to Mentoring,18 to 24,All genders,75,49.3%,,,
British Columbia,Access to Mentoring,25 to 30,All genders,99,55.6%,,,
British Columbia,Access to Mentoring,18 to 24,Woman,38,50.7%,,,
British Columbia,Access to Mentoring,18 to 24,Man,34,48.6%,,,
British Columbia,Access to Mentoring,18 to 24,Non-binary,3,42.9%,,,
British Columbia,Access to Mentoring,25 to 30,Woman,43,51.8%,,,
British Columbia,Access to Mentoring,25 to 30,Man,54,60.0%,,,
British Columbia,Access to Mentoring,25 to 30,Non-binary,2,40.0%,,,
Ontario,Access to Mentoring,All ages,All genders,597,57.2%,,,
Ontario,Access to Mentoring,All ages,Woman,294,59.2%,,,
Ontario,Access to Mentoring,All ages,Man,292,55.7%,,,
Ontario,Access to Mentoring,All ages,Non-binary,11,52.4%,,,
Ontario,Access to Mentoring,18 to 24,All genders,273,61.9%,,,
Ontario,Access to Mentoring,25 to 30,All genders,324,53.9%,,,
Ontario,Access to Mentoring,18 to 24,Woman,124,63.3%,,,
Ontario,Access to Mentoring,18 to 24,Man,140,60.6%,,,
Ontario,Access to Mentoring,18 to 24,Non-binary,9,64.3%,,,
Ontario,Access to Mentoring,25 to 30,Woman,170,56.5%,,,
Ontario,Access to Mentoring,25 to 30,Man,152,51.9%,,,
Ontario,Access to Mentoring,25 to 30,Non-binary,2,28.6%,,,
Quebec,Access to Mentoring,All ages,All genders,300,52.9%,,,
Quebec,Access to Mentoring,All ages,Woman,150,50.9%,,,
Quebec,Access to Mentoring,All ages,Man,135,54.0%, ,,
Quebec,Access to Mentoring,All ages,Non-binary,15,68.2%,,,
Quebec,Access to Mentoring,18 to 24,All genders,155,55.4%,,,
Quebec,Access to Mentoring,25 to 30,All genders,145,50.5%,,,
Quebec,Access to Mentoring,18 to 24,Woman,74,53.2%,,,
Quebec,Access to Mentoring,18 to 24,Man,71,55.5%,,,
Quebec,Access to Mentoring,18 to 24,Non-binary,10,76.9%,,,
Quebec,Access to Mentoring,25 to 30,Woman,76,48.7%,,,
Quebec,Access to Mentoring,25 to 30,Man,64,52.5%,,,
Quebec,Access to Mentoring,25 to 30,Non-binary,5,55.6%,,,
Total Sample,Access to Formal Mentoring,All ages,All genders,455,31.5%, ,,
Total Sample,Access to Formal Mentoring,All ages,Woman,177,24.3%,,,
Total Sample,Access to Formal Mentoring,All ages,Man,263,38.9%,,,
Total Sample,Access to Formal Mentoring,All ages,Non-binary,15,37.5%, ,,
Total Sample,Access to Formal Mentoring,18 to 24,All genders,223,31.7%,,,
Total Sample,Access to Formal Mentoring,25 to 30,All genders,232,31.3%,,,
Total Sample,Access to Formal Mentoring,18 to 24,Woman,96,27.7%,,,
Total Sample,Access to Formal Mentoring,18 to 24,Man,119,36.3%,,,
Total Sample,Access to Formal Mentoring,18 to 24,Non-binary,8,28.6%,,,
Total Sample,Access to Formal Mentoring,25 to 30,Woman,81,21.3%, ,,
Total Sample,Access to Formal Mentoring,25 to 30,Man,144,41.4%, ,,
Total Sample,Access to Formal Mentoring,25 to 30,Non-binary,7,58.3%, ,,
Alberta,Access to Formal Mentoring,All ages,All genders,63,34.1%, ,,
Alberta,Access to Formal Mentoring,All ages,Woman,20,22.5%,,,
Alberta,Access to Formal Mentoring,All ages,Man,41,44.1%,,,
Alberta,Access to Formal Mentoring,All ages,Non-binary,2,66.7%,,,
Alberta,Access to Formal Mentoring,18 to 24,All genders,33,36.3%, ,,
Alberta,Access to Formal Mentoring,25 to 30,All genders,30,31.9%, ,,
Alberta,Access to Formal Mentoring,18 to 24,Woman,10,25.6%, ,,
Alberta,Access to Formal Mentoring,18 to 24,Man,23,45.1%,,,
Alberta,Access to Formal Mentoring,18 to 24,Non-binary,0,N/A,,,
Alberta,Access to Formal Mentoring,25 to 30,Woman,10,20.0%,,,
Alberta,Access to Formal Mentoring,25 to 30,Man,18,42.9%,,,
Alberta,Access to Formal Mentoring,25 to 30,Non-binary,2,100.0%,,,
British Columbia,Access to Formal Mentoring,All ages,All genders,61,35.3%,,,
British Columbia,Access to Formal Mentoring,All ages,Woman,17,21.0%,,,
British Columbia,Access to Formal Mentoring,All ages,Man,43,49.4%,,,
British Columbia,Access to Formal Mentoring,All ages,Non-binary,1,20.0%, ,,
British Columbia,Access to Formal Mentoring,18 to 24,All genders,25,33.8%,,,
